Row,1750,2000,2250,2500,2750
-20,130/30/35,137/38/43,143/45/50,150/52/56,156/58/63
-10,128/28/33,135/36/41,141/43/48,147/50/54,154/56/60
0,127/27/32,133/34/39,139/41/46,145/48/52,151/54/58
10,125/25/30,131/33/37,137/40/44,143/46/50,149/52/57
20,123/23/29,130/31/36,136/38/42,141/44/49,147/50/55
30,122/22/27,128/30/34,134/36/41,140/43/47,145/48/53
40,121/21/27,126/28/33,132/35/39,138/41/45,143/47/51
43,120/21/26,126/28/32,132/34/39,137/41/45,143/46/50
45,120/20/25,126/27/32,132/34/38,137/40/44,143/46/50
47,120/20/25,126/27/31,131/33/38,137/39/44,142/45/49
49,119/19/24,125/26/31,131/33/37,137/39/43,142/45/49
51,119/19/24,125/26/30,131/33/37,136/38/42,142/44/48
53,119/19/24,125/25/30,131/32/36,136/38/42,142/44/48
55,119/19/23,125/25/29,130/32/36,136/37/41,141/43/47
57,118/18/23,124/25/29,130/31/35,136/37/41,141/43/46
59,118/18/23,124/24/28,130/31/35,135/37/40,141/42/46
61,118/18/23,124/24/28,130/30/34,135/36/40,140/42/45
63,118/18/22,124/24/28,129/30/34,135/36/39,140/41/45
65,117/17/22,123/23/27,129/29/33,134/35/39,140/41/44
66,117/17/21,123/23/27,129/29/33,134/35/38,140/40/44
