Row,1750,2000,2250,2500,2750
-20,69.7,72.5,74.9,76.6,77.9
-10,68.9,71.8,74.2,76.1,77.4
0,68.2,71.1,73.6,75.5,76.9
10,67.4,70.4,72.9,74.9,76.4
20,66.6,69.6,72.1,74.2,75.8
30,65.8,68.9,71.4,73.5,75.1
40,65.1,68.2,70.8,72.9,74.6
43,64.8,68.0,70.5,72.6,74.4
45,64.0,67.1,69.6,71.6,73.3
47,63.2,66.2,68.6,70.6,72.3
49,62.4,65.3,67.6,69.6,71.2
51,61.5,64.4,66.7,68.6,70.1
53,60.6,63.5,65.7,67.6,69.0
55,59.7,62.5,64.8,66.6,67.9
57,58.9,61.7,63.9,65.6,66.9
59,58.1,60.9,63.0,64.7,66.0
61,57.3,60.1,62.2,63.8,65.0
63,56.5,59.2,61.3,62.9,64.0
65,55.6,58.3,60.4,62.0,63.1
66,55.2,57.9,60.0,61.5,62.6
